date,category,amount
2025-01-01,Marketing,1200
2025-01-02,Operación,800
2025-01-03,Infraestructura,350
2025-01-04,Nómina,500
2025-01-05,Licencias,900
2025-01-06,Viajes,1500
2025-01-07,Soporte,230
2025-01-08,Seguridad,420
2025-01-09,Finanzas,760
2025-01-10,Legal,1100
2025-02-01,Marketing,1200
2025-02-02,Operación,800
2025-02-03,Infraestructura,350
2025-02-04,Nómina,500
2025-02-05,Licencias,900
2025-02-06,Viajes,1500
2025-02-07,Soporte,230
2025-02-08,Seguridad,420
2025-02-09,Finanzas,760
2025-02-10,Legal,1100
2025-03-01,Marketing,1200
2025-03-02,Operación,800
2025-03-03,Infraestructura,350
2025-03-04,Nómina,500
2025-03-05,Licencias,900
2025-03-06,Viajes,1500
2025-03-07,Soporte,230
2025-03-08,Seguridad,420
2025-03-09,Finanzas,760
2025-03-10,Legal,1100
2025-04-01,Marketing,1200
2025-04-02,Operación,800
2025-04-03,Infraestructura,350
2025-04-04,Nómina,500
2025-04-05,Licencias,900
2025-04-06,Viajes,1500
2025-04-07,Soporte,230
2025-04-08,Seguridad,420
2025-04-09,Finanzas,760
2025-04-10,Legal,1100
2025-05-01,Marketing,1200
2025-05-02,Operación,800
2025-05-03,Infraestructura,350
2025-05-04,Nómina,500
2025-05-05,Licencias,900
2025-05-06,Viajes,1500
2025-05-07,Soporte,230
2025-05-08,Seguridad,420
2025-05-09,Finanzas,760
2025-05-10,Legal,1100
2025-06-01,Marketing,1200
2025-06-02,Operación,800
2025-06-03,Infraestructura,350
2025-06-04,Nómina,500
2025-06-05,Licencias,900
2025-06-06,Viajes,1500
2025-06-07,Soporte,230
2025-06-08,Seguridad,420
2025-06-09,Finanzas,760
2025-06-10,Legal,1100
2025-07-01,Marketing,1200
2025-07-02,Operación,800
2025-07-03,Infraestructura,350
2025-07-04,Nómina,500
2025-07-05,Licencias,900
2025-07-06,Viajes,1500
2025-07-07,Soporte,230
2025-07-08,Seguridad,420
2025-07-09,Finanzas,760
2025-07-10,Legal,1100
2025-08-01,Marketing,1200
2025-08-02,Operación,800
2025-08-03,Infraestructura,350
2025-08-04,Nómina,500
2025-08-05,Licencias,900
2025-08-06,Viajes,1500
2025-08-07,Soporte,230
2025-08-08,Seguridad,420
2025-08-09,Finanzas,760
2025-08-10,Legal,1100
2025-09-01,Marketing,1200
2025-09-02,Operación,800
2025-09-03,Infraestructura,350
2025-09-04,Nómina,500
2025-09-05,Licencias,900
2025-09-06,Viajes,1500
2025-09-07,Soporte,230
2025-09-08,Seguridad,420
2025-09-09,Finanzas,760
2025-09-10,Legal,1100
2025-10-01,Marketing,1200
2025-10-02,Operación,800
2025-10-03,Infraestructura,350
2025-10-04,Nómina,500
2025-10-05,Licencias,900
2025-10-06,Viajes,1500
2025-10-07,Soporte,230
2025-10-08,Seguridad,420
2025-10-09,Finanzas,760
2025-10-10,Legal,1100
